"elementName", "elementContent", "typeAttributeIfPresent"
"persName", "Mr Taylor", "", "william_taylor"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Dickson", "", "#dickson_thomas"
"persName", "Mr Carbut", "", ""
"persName", "Mr Dickson", "", "#dickson_thomas"
"persName", "Mr Dickson", "", "#dickson_thomas"
"persName", "Mr Dickson", "", "#dickson_thomas"
"persName", "Mr Doran", "", "#doran_william"
"persName", "Mr Eyton", "", "#eyton_charles"
"persName", "Mr Mott", "", "#mott_john"
"persName", "Mr Mott", "", "#mott_john"
"persName", "Mr Mott", "", "#mott_john"
"persName", "Mr Mott", "", "#mott_john"
"persName", "Mr Neilan", "", "#neilan_marshall"
"persName", "Mr Neilan", "", "#neilan_marshall"
"persName", "Mr Neilan", "", "#neilan_marshall"
"persName", "Mr Neilan", "", "#neilan_marshall"
"persName", "Mr Neilan", "", "#neilan_marshall"
"persName", "Mr Neilan", "", "#neilan_marshall"
"persName", "Mr Neilan", "", "#neilan_marshall"
"persName", "Mr Neilan", "", "#neilan_marshall"
"persName", "Mr Neilan", "", "#neilan_marshall"
"persName", "Mr Neilan", "", "#neilan_marshall"
"persName", "Mr Neilan", "", "#neilan_marshall"
"persName", "Mr Neilan's", "", "#neilan_marshall"
"persName", "Mr Neilan's", "", "#neilan_marshall"
"persName", "Mr Pickford", "", "#pickford_jack"
"persName", "Mr Scarborough", "", ""
"persName", "Mr Stockdale", "", "#stockdale_carl"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", ""
"persName", "Mr Taylor", "", ""
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor", "", "#taylor_william"
"persName", "Mr Taylor's", "", "#taylor_william"
"persName", "Mr Taylor's", "", "#taylor_william"
"persName", "Mr Taylor's", "", "#taylor_william"
"persName", "Mr Taylor's", "", "#taylor_william"
"persName", "Mr Taylor's", "", "#taylor_william"
"persName", "Mr Taylor's", "", "#taylor_william"
"persName", "Mr Taylor?", "", "#taylor_william"
"persName", "Mr Taylor? ", "", "#taylor_william"
"persName", "Mr. Neilan", "", "#neilan_marshall"
"persName", "Mr. Taylor", "", "#taylor_william"
"persName", "Mrs Ivers", "", "#ivors_julia"
"persName", "Nathan Herrold", "", "#herrold"
"persName", "Neilan", "", "#neilan_marshall"
"persName", "Neilan", "", "#neilan_marshall"
"persName", "Neilan", "", "#neilan_marshall"
"persName", "Neilan", "", "#neilan_marshall"
"persName", "Ryan Carroll", "", "#carroll"
"persName", "Taylor", "", "#taylor_william"
"persName", "Taylor", "", "#taylor_william"
"persName", "Taylor", "", "#taylor_william"
"persName", "Taylor", "", "#taylor_william"
"persName", "Taylor", "", "#taylor_william"
"persName", "Taylor", "", "#taylor_william"
"persName", "Taylor", "", "#taylor_william"
"persName", "Taylor", "", "#taylor_william"
"persName", "Taylor's", "", "#taylor_william"
"persName", "Taylor's", "", "#taylor_william"
"persName", "Taylor's", "", "#taylor_william"
"persName", "Tess Greenspan", "", "#greenspan"
"persName", "Thomas Dickson", "", "#dickson_thomas"
"persName", "William Desmond Taylor", "", "#taylor_william"
"persName", "William Taylor", "", "#taylor_william"
"persName", "Your chauffeur", "", ""
"persName", "Your grandmother", "", "mama_miles"
"persName", "grand­mother", "", "#miles_juliet"
"persName", "he", "", "#taylor_william"
"persName", "he", "", "william_taylor"
"persName", "him", "", "#taylor_william"
"persName", "him", "", "#taylor_william"
"persName", "him", "", "#taylor_william"
"persName", "him", "", "#taylor_william"
"persName", "him", "", "#taylor_william"
"persName", "his", "", "#taylor_william"
"persName", "his", "", "#taylor_william"
"persName", "his mother", "", ""
"persName", "l", "", "#minter_mary"
"persName", "little Mary", "", "#minter_mary"
"persName", "little Mary.", "", "#minter_mary"
"persName", "ma", "", "#shelby_charlotte"
"persName", "me", "", "#minter_mary"
"persName", "me", "", "#minter_mary"
"persName", "mother", "", "#shelby_charlotte"
"persName", "mother", "", "#shelby_charlotte"
"persName", "mother", "", "#shelby_charlotte"
"persName", "my", "", "#minter_mary"
"persName", "my grandmother", "", ""
"persName", "night watchman", "", ""
"persName", "property man", "", ""
"persName", "sister", "", "#shelby_margaret"
"persName", "sister", "", "#shelby_margaret"
"persName", "valet, the colored man", "", "#peavey_henry"
"persName", "watchman", "", ""
"persName", "wife", "", ""
"persName", "you", "", "#minter_mary"
"persName", "you", "", "#minter_mary"
